Fecha,Tipo Formación,Área,Sede,Ingreso,Tipo Dato
2026-01-15,Máster,Digital,Madrid,42000,Real
2026-01-15,Máster,Digital,Madrid,45000,Objetivo
2026-01-20,Curso,Marketing,Madrid,18500,Real
2026-01-20,Curso,Marketing,Madrid,20000,Objetivo
2026-01-25,FP,Finanzas,Sevilla,12000,Real
2026-01-25,FP,Finanzas,Sevilla,15000,Objetivo
2026-02-10,Máster,Digital,Madrid,38000,Real
2026-02-10,Máster,Digital,Madrid,45000,Objetivo
2026-02-14,Máster,RRHH,Valencia,27000,Real
2026-02-14,Máster,RRHH,Valencia,25000,Objetivo
2026-02-22,Curso,Marketing,Sevilla,9500,Real
2026-02-22,Curso,Marketing,Sevilla,12000,Objetivo
2026-03-05,Doble Titulación,Digital,Madrid,51000,Real
2026-03-05,Doble Titulación,Digital,Madrid,48000,Objetivo
2026-03-12,FP,Finanzas,Valencia,14500,Real
2026-03-12,FP,Finanzas,Valencia,15000,Objetivo
2026-03-18,Curso,RRHH,Sevilla,7200,Real
2026-03-18,Curso,RRHH,Sevilla,10000,Objetivo
2026-04-08,Máster,Digital,Valencia,33000,Real
2026-04-08,Máster,Digital,Valencia,30000,Objetivo
2026-04-16,Curso,Marketing,Madrid,21000,Real
2026-04-16,Curso,Marketing,Madrid,20000,Objetivo
2026-04-24,FP,Finanzas,Madrid,16800,Real
2026-04-24,FP,Finanzas,Madrid,15000,Objetivo
2026-05-06,Doble Titulación,RRHH,Madrid,44000,Real
2026-05-06,Doble Titulación,RRHH,Madrid,48000,Objetivo
2026-05-19,Máster,Marketing,Sevilla,29500,Real
2026-05-19,Máster,Marketing,Sevilla,28000,Objetivo
2026-06-03,Curso,Digital,Valencia,11200,Real
2026-06-03,Curso,Digital,Valencia,12000,Objetivo
2026-06-11,FP,RRHH,Sevilla,13400,Real
2026-06-11,FP,RRHH,Sevilla,15000,Objetivo
2026-06-25,Máster,Digital,Madrid,47000,Real
2026-06-25,Máster,Digital,Madrid,45000,Objetivo
